sentence,token_id,form,children,child_labels
2,13-14,des,de les,ADP+DET
3,20-21,du,de le,ADP+DET
4,1-2,Aux,À les,ADP+DET
4,15-16,au,à le,ADP+DET
4,18-19,du,de le,ADP+DET
5,16-17,au,à le,ADP+DET
6,13-14,du,de le,ADP+DET
6,24-25,desdites,de lesdites,ADP+DET
9,9-10,du,de le,ADP+DET
9,45-46,des,de les,ADP+DET
10,1-2,Au,À le,ADP+DET
10,13-14,des,de les,ADP+DET
12,10-11,du,de le,ADP+DET
15,4-5,du,de le,ADP+DET
16,12-13,des,de les,ADP+DET
16,16-17,des,de les,ADP+DET
16,20-21,des,de les,ADP+DET
16,23-24,des,de les,ADP+DET
18,19-20,des,de les,ADP+DET
20,15-16,du,de le,ADP+DET
23,17-18,du,de le,ADP+DET
23,24-25,des,de les,ADP+DET
24,17-18,des,de les,ADP+DET
24,25-26,au,à le,ADP+DET
24,43-44,au,à le,ADP+DET
26,5-6,aux,à les,ADP+DET
26,12-13,des,de les,ADP+DET
26,18-19,du,de le,ADP+DET
26,29-30,du,de le,ADP+DET
26,48-49,du,de le,ADP+DET
26,54-55,du,de le,ADP+DET
26,62-63,du,de le,ADP+DET
27,20-21,des,de les,ADP+DET
27,43-44,du,de le,ADP+DET
28,5-6,au,à le,ADP+DET
28,8-9,du,de le,ADP+DET
28,11-12,du,de le,ADP+DET
28,14-15,des,de les,ADP+DET
29,26-27,au,à le,ADP+DET
31,11-12,aux,à les,ADP+DET
31,29-30,au,à le,ADP+DET
31,36-37,des,de les,ADP+DET
32,20-21,au,à le,ADP+DET
33,33-34,du,de le,ADP+DET
35,25-26,du,de le,ADP+DET
42,11-12,au,à le,ADP+DET
43,18-19,du,de le,ADP+DET
43,21-22,des,de les,ADP+DET
44,15-16,du,de le,ADP+DET
44,30-31,aux,à les,ADP+DET
47,9-10,des,de les,ADP+DET
48,19-20,au,à le,ADP+DET
50,24-25,du,de le,ADP+DET
54,36-37,du,de le,ADP+DET
56,7-8,du,de le,ADP+DET
57,3-4,du,de le,ADP+DET
57,9-10,au,à le,ADP+DET
58,13-14,des,de les,ADP+DET
65,9-10,aux,à les,ADP+DET
69,10-11,aux,à les,ADP+DET
71,24-25,du,de le,ADP+DET
72,9-10,au,à le,ADP+DET
74,19-20,au,à le,ADP+DET
77,15-16,du,de le,ADP+DET
77,22-23,des,de les,ADP+DET
79,17-18,des,de les,ADP+DET
87,10-11,des,de les,ADP+DET
88,18-19,des,de les,ADP+DET
89,10-11,du,de le,ADP+DET
89,38-39,des,de les,ADP+DET
90,3-4,du,de le,ADP+DET
90,26-27,des,de les,ADP+DET
90,33-34,du,de le,ADP+DET
90,42-43,du,de le,ADP+DET
91,9-10,des,de les,ADP+DET
99,29-30,du,de le,ADP+DET
100,14-15,du,de le,ADP+DET
102,13-14,au,à le,ADP+DET
102,19-20,au,à le,ADP+DET
102,33-34,du,de le,ADP+DET
103,4-5,au,à le,ADP+DET
103,7-8,des,de les,ADP+DET
104,20-21,du,de le,ADP+DET
106,6-7,du,de le,ADP+DET
106,9-10,du,de le,ADP+DET
108,25-26,des,de les,ADP+DET
109,15-16,au,à le,ADP+DET
111,12-13,des,de les,ADP+DET
116,16-17,des,de les,ADP+DET
117,25-26,des,de les,ADP+DET
119,6-7,aux,à les,ADP+DET
119,13-14,au,à le,ADP+DET
120,9-10,du,de le,ADP+DET
121,4-5,des,de les,ADP+DET
125,14-15,des,de les,ADP+DET
128,3-4,des,de les,ADP+DET
129,10-11,aux,à les,ADP+DET
129,25-26,au,à le,ADP+DET
129,34-35,au,à le,ADP+DET
131,11-12,des,de les,ADP+DET
132,6-7,des,de les,ADP+DET
134,14-15,des,de les,ADP+DET
136,13-14,du,de le,ADP+DET
138,22-23,des,de les,ADP+DET
139,18-19,des,de les,ADP+DET
139,32-33,des,de les,ADP+DET
139,35-36,au,à le,ADP+DET
140,3-4,du,de le,ADP+DET
140,16-17,des,de les,ADP+DET
142,8-9,au,à le,ADP+DET
147,24-25,au,à le,ADP+DET
147,27-28,du,de le,ADP+DET
152,13-14,des,de les,ADP+DET
152,28-29,du,de le,ADP+DET
152,32-33,du,de le,ADP+DET
156,6-7,du,de le,ADP+DET
158,20-21,du,de le,ADP+DET
158,43-44,du,de le,ADP+DET
158,53-54,du,de le,ADP+DET
161,6-7,des,de les,ADP+DET
164,26-27,du,de le,ADP+DET
166,3-4,des,de les,ADP+DET
166,26-27,du,de le,ADP+DET
166,29-30,du,de le,ADP+DET
167,5-6,du,de le,ADP+DET
186,18-19,du,de le,ADP+DET
190,17-18,aux,à les,ADP+DET
192,17-18,au,à le,ADP+DET
